Dataset,Feature,WindowSize(ms),Threshold,Accuracy,DetectionDelay(ms)
test_struct_random_prompt.csv,RMS,10,0.023637825255553427,96.07520639834881,16.333333333333332
test_struct_random_prompt.csv,VAR,10,0.0017994941305627858,89.19311145510835,20.0
test_struct_random_prompt.csv,WL,10,0.10958528711881926,96.37512899896801,13.833333333333334
test_struct_random_prompt.csv,RMS,20,0.02341179112230208,97.31595586812053,17.333333333333332
test_struct_random_prompt.csv,VAR,20,0.0012404665004242502,95.17065617136589,21.166666666666668
test_struct_random_prompt.csv,WL,20,0.21070071267228635,97.48693464094458,18.0
test_struct_random_prompt.csv,RMS,30,0.022755632282422708,97.51516716148187,17.666666666666668
test_struct_random_prompt.csv,VAR,30,0.0010159370088100826,96.81166903317413,21.333333333333332
test_struct_random_prompt.csv,WL,30,0.32253998813029106,97.50548599457855,19.333333333333332
test_struct_random_prompt.csv,RMS,40,0.022337511920422288,97.46271547549874,18.166666666666668
test_struct_random_prompt.csv,VAR,40,0.0009239203697698771,97.17541481051069,22.5
test_struct_random_prompt.csv,WL,40,0.4325186572105747,97.48854025437407,20.333333333333332
test_struct_random_prompt.csv,RMS,50,0.02309243306778634,97.49095840867993,19.166666666666668
test_struct_random_prompt.csv,VAR,50,0.0009155030012496413,97.1938775510204,23.5
test_struct_random_prompt.csv,WL,50,0.5442765031114727,97.44897959183673,21.833333333333332
test_struct_random_prompt.csv,RMS,60,0.023363662427103776,97.44492538277667,15.666666666666666
test_struct_random_prompt.csv,VAR,60,0.0009480189369892224,97.25111441307578,24.5
test_struct_random_prompt.csv,WL,60,0.6649277241660114,97.3932424575231,17.5
test_struct_random_prompt.csv,RMS,70,0.0232430088995621,97.28900090474343,15.666666666666666
test_struct_random_prompt.csv,VAR,70,0.0008814643468574955,97.41178751454052,24.833333333333332
test_struct_random_prompt.csv,WL,70,0.7761929624484192,97.3633191159364,24.666666666666668
test_struct_random_prompt.csv,RMS,80,0.02691436873205748,97.29458917835672,23.833333333333332
test_struct_random_prompt.csv,VAR,80,0.0007903947323149383,97.40125412114551,24.666666666666668
test_struct_random_prompt.csv,WL,80,0.8701280546147993,97.30751826233112,19.666666666666668
test_struct_random_prompt.csv,RMS,90,0.027861300932884893,97.37778065183652,25.166666666666668
test_struct_random_prompt.csv,VAR,90,0.0007289831237364272,97.25168132436627,24.5
test_struct_random_prompt.csv,WL,90,0.9979165047496815,97.29371443352302,25.0
test_struct_random_prompt.csv,RMS,100,0.027026795569733565,97.20874571447054,25.166666666666668
test_struct_random_prompt.csv,VAR,100,0.0006967180847770762,97.0631994307523,24.5
test_struct_random_prompt.csv,WL,100,1.1579664341907678,97.21844880005175,27.166666666666668
test_struct_random_prompt.csv,RMS,110,0.026621748145317762,97.03636598938786,25.333333333333332
test_struct_random_prompt.csv,VAR,110,0.000644939473831744,96.76782709977999,24.166666666666668
test_struct_random_prompt.csv,WL,110,1.2627490250579179,97.03313058107933,27.833333333333332
test_struct_random_prompt.csv,RMS,120,0.02566123810754036,96.84445595184155,25.0
test_struct_random_prompt.csv,VAR,120,0.000635535614085668,96.65997799210305,24.833333333333332
test_struct_random_prompt.csv,WL,120,1.3641150572259804,96.84769240727556,29.666666666666668
test_struct_random_prompt.csv,RMS,130,0.024997645844772255,96.61033411033411,24.666666666666668
test_struct_random_prompt.csv,VAR,130,0.0006383810918650242,96.64918414918415,25.166666666666668
test_struct_random_prompt.csv,WL,130,1.4661821988333321,96.67184667184668,30.333333333333332
test_struct_random_prompt.csv,RMS,140,0.02419850515998022,96.32100524645378,24.333333333333332
test_struct_random_prompt.csv,VAR,140,0.0006266845502360112,96.47645572899799,25.166666666666668
test_struct_random_prompt.csv,WL,140,1.6119538378073504,96.49588703931602,31.333333333333332
test_struct_random_prompt.csv,RMS,150,0.023964943028608975,96.12867694700013,24.5
test_struct_random_prompt.csv,VAR,150,0.0006027678144292535,96.258260982247,25.333333333333332
test_struct_random_prompt.csv,WL,150,1.7550248920276448,96.2906569910587,32.833333333333336
test_struct_random_prompt.csv,RMS,160,0.02375426679459971,95.93946464450062,24.666666666666668
test_struct_random_prompt.csv,VAR,160,0.0006516077411508939,96.0334435154579,27.0
test_struct_random_prompt.csv,WL,160,1.8149593586196513,96.06585002268456,32.666666666666664
test_struct_random_prompt.csv,RMS,170,0.023663301573723722,95.79551348547717,25.166666666666668
test_struct_random_prompt.csv,VAR,170,0.0006498747685132905,95.79551348547717,28.0
test_struct_random_prompt.csv,WL,170,1.990594747584817,95.90248962655602,33.833333333333336
test_struct_random_prompt.csv,RMS,180,0.024826522502008997,95.5736429081004,27.166666666666668
test_struct_random_prompt.csv,VAR,180,0.000643019009847932,95.56391465075556,28.333333333333332
test_struct_random_prompt.csv,WL,180,2.092855234321601,95.6774109864453,34.166666666666664
test_struct_random_prompt.csv,RMS,190,0.023705669298375975,95.3321655637732,26.666666666666668
test_struct_random_prompt.csv,VAR,190,0.0006402121603736636,95.33540936810692,28.5
test_struct_random_prompt.csv,WL,190,2.17960514676364,95.45218632412093,34.5
test_struct_random_prompt.csv,RMS,200,0.023533232331096204,95.11000064897138,26.666666666666668
test_struct_random_prompt.csv,VAR,200,0.0006511648027681931,95.08079693685508,30.333333333333332
test_struct_random_prompt.csv,WL,200,2.259343553212858,95.236550068142,34.5
test_struct_steady_rhythm.csv,RMS,10,0.023637825255553427,96.3740760714399,10.4
test_struct_steady_rhythm.csv,VAR,10,0.0017994941305627858,90.56244646765853,21.8
test_struct_steady_rhythm.csv,WL,10,0.10958528711881926,96.89750341020842,11.4
